username,handle,full_text,time,cleaned_tweet,translated_tweet,textblob_sentiment
"Lutfiلطفــــــــــــي
@bittertamarind
·
May 15",,"Apa tanggapan Indofood dan netizen Indonesia tentang kejadian yang baru-baru ini viral ke media? (Pemusnahan bantuan kemanusiaan untuk Gaza) 
@indofood
 
@Indomielovers
 #indomie",2024-05-15T01:23:55.000Z,tanggapan indofood netizen indonesia kejadian viral medium pemusnahan bantuan kemanusiaan gaza indofood indomielovers indomie,Indofood response from Indonesian netizens viral incident medium destruction of humanitarian aid Gaza Indofood Indomielovers Indomie,neutral
"Ej⩜⃝ 
@amoreyoza
·
Feb 2",,"Namanya doang #indomie rawon pedas mercon, tapi rasanya malah kayak soto, kenceng banget nipisnya, kluweknya gaberasa, gak pedes pula, makanya owe tambahin rawit  sebagai pecinta #rawon garis keras jujur kecewa siih.. 
@Indomielovers",2024-02-02T04:00:25.000Z,namanya doang indomie rawon pedas mercon kayak soto kenceng banget nipisnya kluweknya gaberasa gak pes owe tambahin rawit pecinta rawon gari kera jujur kecewa siih indomielovers,"It's just called Indomie Rawon Spicy Firecrackers, it's like soto, it's very thin, the kluwek doesn't taste great, thank you, add cayenne pepper, Rawon Gari Kera lovers are honestly disappointed, Indomielovers",negative
"Badminton Talk
@BadmintonTalk
·
Aug 27, 2023",,"“Banyak yang tidak percaya saya berada di titik ini, tapi sekarang saya di sini. Semua karena partner saya ka Apri, ko Didi, mas Pras dan tim PBSI yang mencoba membantu saya dan men-support saya. 

Kalau saya mimpi, tolong bangunin dong.”

- Fadia

#SambalIndofood #Indomie",2023-08-27T13:00:41.000Z,percaya titik partner ka apri ko didi ma pras tim pbsi mencoba membantu men support mimpi tolong bangunin fadia sambalindofood indomie,believe point partner ka apri ko didi ma pras pbsi team try to help men support dreams please wake up fadia sambalindofood indomie,neutral
username,handle,content,time,content,content,neutral
"Wisbenbae
@wisbenbae
·
Sep 2, 2023",,Ketika mie gaga dikadalin indomie ! #miegaga #indomie #miegagagorengpedasjalapeno #SudirmanSaid #AniesMuhaimin2024 #Penghianat,2023-09-02T10:05:15.000Z,mie gaga dikadalin indomie miegaga indomie miegagagorengpedasjalapeno sudirmansaid aniesmuhaimin2024 penghianat,noodle gaga dikadalin indomie noodle gaga indomie miegagagorengspicy jalapeno sudirmansaid #aniesmuhaimin2024 traitor,neutral
"OliviaRegiyna
@OliviaRegiyna
·
May 31, 2023",,Cowok Gemini? Maap engga dulu  #Indomie,2023-05-31T10:57:10.000Z,cowok gemini maap engga indomie,Gemini guys are sorry or Indomie,negative
";
@FitriaNafisa
·
Jul 10, 2023",,"Intro About You - The 1975  

Popmie + kecambah + sosis  #popmie #popmieindomie #indomie #indomieseleraku #kos #kosan #hujan #kecambah #sosis",2023-07-10T14:09:27.000Z,intro about you the 1975 popmie kecambah sosis popmie popmieindomie indomie indomieseleraku ko kosan hujan kecambah sosis,intro about you the 1975 pop noodles sprouts sausage pop noodles pop noodles indomie indomie indomieseleraku ko kosan rain sprouts sausage,neutral
"xiinya しーにゃ Alliance  @Japan
@xiinya_jp
·
Aug 4, 2023",,"Cewe Jepang mnyobain masak dan makan Indomie
#Indomie #Japanesegirl",2023-08-04T01:09:33.000Z,cewe jepang mnyobain masak makan indomie indomie japanesegirl,Japanese girl tries to cook food Indomie Indomie Japanese Girl,negative
"Mai Kumala | Collabs 70/100
@MaiKumalaCh
·
Apr 29, 2023",,"Emang paling bener Varian Favorit itu dibarengin sama topping Favorit ! 
Selamat sarapan MaiHoney ! 
Indomie Tori Miso x Telor (gagal) setengah matang x ayam suwir

#MaiKanan #Indomie",2023-04-29T04:43:40.000Z,emang bener varian favorit dibarengin topping favorit selamat sarapan maihoney indomie torus miso x telor gagal matang x ayam suwir maikanan indomie,It's true that the favorite variant is accompanied by your favorite topping. Have a good breakfast. Maihoney Indomie Torus Miso x Egg Failed to Cook x Shredded Chicken Indomie Food,positive
"Ayo Nonton Look Back!
@HerrySis
·
Apr 29, 2023",,Petisi untuk ko @/axtonsalim agar produksi lagi rasa sambal matah #indomie #indomiesambalmatah #indomiegoreng,2023-04-29T06:22:33.000Z,petisi ko axtonsalim produksi sambal matah indomie indomiesambalmatah indomiegoreng,petition ko axtonsalim production of sambal matah indomie indomiesambalmatah indomiegoreng,neutral
username,handle,content,time,content,content,neutral
