username,handle,full_text,time
"Lutfiلطفــــــــــــي
@bittertamarind
·
May 15",N/A,"Apa tanggapan Indofood dan netizen Indonesia tentang kejadian yang baru-baru ini viral ke media? (Pemusnahan bantuan kemanusiaan untuk Gaza) 
@indofood
 
@Indomielovers
 #indomie",2024-05-15T01:23:55.000Z
"Ej⩜⃝ 
@amoreyoza
·
Feb 2",N/A,"Namanya doang #indomie rawon pedas mercon, tapi rasanya malah kayak soto, kenceng banget nipisnya, kluweknya gaberasa, gak pedes pula, makanya owe tambahin rawit  sebagai pecinta #rawon garis keras jujur kecewa siih.. 
@Indomielovers",2024-02-02T04:00:25.000Z
"Badminton Talk
@BadmintonTalk
·
Aug 27, 2023",N/A,"“Banyak yang tidak percaya saya berada di titik ini, tapi sekarang saya di sini. Semua karena partner saya ka Apri, ko Didi, mas Pras dan tim PBSI yang mencoba membantu saya dan men-support saya. 

Kalau saya mimpi, tolong bangunin dong.”

- Fadia

#SambalIndofood #Indomie",2023-08-27T13:00:41.000Z
username,handle,content,time
"Wisbenbae
@wisbenbae
·
Sep 2, 2023",N/A,Ketika mie gaga dikadalin indomie ! #miegaga #indomie #miegagagorengpedasjalapeno #SudirmanSaid #AniesMuhaimin2024 #Penghianat,2023-09-02T10:05:15.000Z
"OliviaRegiyna
@OliviaRegiyna
·
May 31, 2023",N/A,Cowok Gemini? Maap engga dulu  #Indomie,2023-05-31T10:57:10.000Z
";
@FitriaNafisa
·
Jul 10, 2023",N/A,"Intro About You - The 1975  

Popmie + kecambah + sosis  #popmie #popmieindomie #indomie #indomieseleraku #kos #kosan #hujan #kecambah #sosis",2023-07-10T14:09:27.000Z
"xiinya しーにゃ Alliance  @Japan
@xiinya_jp
·
Aug 4, 2023",N/A,"Cewe Jepang mnyobain masak dan makan Indomie
#Indomie #Japanesegirl",2023-08-04T01:09:33.000Z
"Mai Kumala | Collabs 70/100
@MaiKumalaCh
·
Apr 29, 2023",N/A,"Emang paling bener Varian Favorit itu dibarengin sama topping Favorit ! 
Selamat sarapan MaiHoney ! 
Indomie Tori Miso x Telor (gagal) setengah matang x ayam suwir

#MaiKanan #Indomie",2023-04-29T04:43:40.000Z
"Ayo Nonton Look Back!
@HerrySis
·
Apr 29, 2023",N/A,Petisi untuk ko @/axtonsalim agar produksi lagi rasa sambal matah #indomie #indomiesambalmatah #indomiegoreng,2023-04-29T06:22:33.000Z
username,handle,content,time
"Nn_Chen
@noyexol
·
Feb 3, 2023",N/A,Emang pencinta indomie keknya dia  #exo #manager #indomie,2023-02-03T07:12:11.000Z
"Mai Kumala | Collabs 70/100
@MaiKumalaCh
·
Feb 6, 2023",N/A,"MaiHoney~ jangan lupa mamam yah 

Aku mamam menu spesial 
@Indomielovers
 yaitu Mie Goreng topping Omelette Mie

#MaiKanan #Indomie",2023-02-06T09:19:10.000Z
"Persija Jakarta
@Persija_Jkt
·
Apr 9, 2023",N/A,"Tekad untuk akhiri musim dengan catatan positif, siap kembali raih kemenangan!
Hadapi Dewa United, Persija unggul 3-2 di pertemuan pertama lalu. Semoga tiga poin kembali menjadi milik Persija di laga ini.

Nonton Persija berlaga jadi makin semangat bareng Indomie Goreng. #Indomie",2023-04-09T10:10:34.000Z
"Hasto Suprayogo
@HastoSuprayogo
·
Apr 27, 2023",N/A,"Nah! Karena kelamaan ga ditanggapi serius, sekarang kabar tentang temuan zat berbahay penyebab kanker di produk #Indomie masuk ke media internasional.

#Indofood bakal mulai merasakan efek bisnis dari pengacuhan krisis kepercayaan publik ini.",2023-04-27T11:25:54.000Z
"Emmar!
@mrnadn
·
Oct 9, 2022",N/A,"Rasanyaaa.... Sama aja kayak Indomie goreng rendang. Beda di size mie nya aja, mirip mie goreng Aceh yg gendud mienya. Kenapa pake embel2 kebab? Ya karena saran penyajiannya kudu digulung2 kyk kebab #indomie",2022-10-09T15:04:51.000Z
username,handle,content,time
"Meme Comic Indonesia
@memecomicrageID
·
Aug 9, 2022",N/A,Kabar buruk buat anak kos #indomie #meme #memecomicindo,2022-08-09T01:32:36.000Z
"@CyCyreneDel
·
Nov 22, 2022",N/A,mari kita coba indomie rasa ini #Indomie,2022-11-22T11:57:03.000Z
"الرحمن
@ramenow
·
Aug 14, 2022",N/A,"Pondasihh brohh!!

#Indomie #CaffeLatte #Coffee #SahabatBlueSky #BlueskyloungeID #BlueskyGroup #APTPranoto #Lounge #AjiPangeranTumenggungPranoto #Samarinda #KalimantanTimur",2022-08-14T04:22:55.000Z
"AY
@hiyouthh
·
Nov 20, 2022",N/A,"Gimana deh ini, kan bumbunya acak acakan ga nyisa:( 
@indofood
 #indomie #indomiegoreng",2022-11-20T12:49:03.000Z
" White Snake 
@0whitesnake0
·
May 28, 2022",N/A,Buat #indomie #rebus #kariayam sekalian nonton #whorulestheworld ,2022-05-27T19:05:23.000Z
"FabulousMommy
@FebryMeuthia
·
Feb 28, 2022",N/A,"Review #indomie rasa Kaldu Udang. 

Verdict : Ok lah. 

Ini varian Indomie yang rasanya simple. Seperti rasa Kaldu Ayam. Di dalam bungkusnya juga cuma ada bumbu kaldu dan cabai bubuk. Rasanya ya rasa kaldu, ada hint dashi sedikit kalo susah carinya, bikin yang kaldu ayam aja",2022-02-28T00:38:22.000Z
username,handle,content,time
"Arema FC
@AremafcOfficial
·
Jun 18, 2022",N/A,"LUAR BIASA! Terima kasih atas antusiasme Aremania untuk dukung Singo Edan secara langsung di stadion pada Piala Presiden kali ini.

Terus semangat dukung Arema FC bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania #RasanyaPopMarkopop",2022-06-18T11:39:10.000Z
"Bayu Wicaksono
@KataMasBayu
·
May 10, 2022",N/A,Kenapa harus laper jam segini wahai perut.. #indomie,2022-05-09T16:29:46.000Z
"Arema FC
@AremafcOfficial
·
Jun 29, 2022",N/A,"Sambil siapin dukungan buat Singo Edan besok Sabtu, admin mau share nih info paling ngepop! Aremania udah pada nyobain belum varian rasa yang terbaru dari Indomie yaitu Indomie Goreng rasa Ayam Pop?

Terus semangat dukung Arema FC bareng Indomie ya!

#IndofoodxAremaFC #Indomie",2022-06-29T11:22:10.000Z
"Haryo Aswicahyono
@Aswicahyono
·
Feb 8, 2022",N/A,"Team gak diaduk garis keras
#indomie",2022-02-08T15:53:43.000Z
"iqbon
@iqbon
·
Oct 18, 2021",N/A,#Indomie adalah pilihan saat kita tidak bisa memilih!,2021-10-18T12:32:55.000Z
username,handle,content,time
"Arema FC
@AremafcOfficial
·
Oct 31, 2021",N/A,"Saatnya kembali ke jalur kemenangan!

Nonton Arema FC dari rumah pastinya makin mantap ditemani Indomie goreng. Aroma dan rasa lezatnya pasti #SiapIsiSemangatmu!

Terus dukung Singo Edan bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-10-31T11:00:59.000Z
"amborie (◕▿◕✿) // senyum
@stuberosuml
·
Oct 21, 2021",N/A,Pls lewat tl orang2 yg lg begadang #emi #indomie,2021-10-20T16:52:37.000Z
"Arema FC
@AremafcOfficial
·
Feb 4, 2022",N/A,"Lanjutkan momentum positif! Hadapi Persija, Singo Edan bidik 3 poin demi terus berada di puncak klasemen.

Biar makin semangat dukung Arema FC, ikutan Tebak Skor yuk bareng Indomie. Selengkapnya di akun Instagram Arema FC.

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan",2022-02-04T13:15:05.000Z
"Ai HadiPranoto
@kaikahana
·
Nov 19, 2021",N/A,"Bias kami ulang tahun tgl 22, salah satu kado dr kami adalah Indomie basket #SongHyeKyo #indomie 
@Indomielovers


Pic : cto",2021-11-19T04:50:25.000Z
"Imansyah Lubis
@bapakranger
·
Feb 25, 2021",N/A,"Bakmi Goreng Bulgogi dari Bakmi Mewah vs Mieghetti Rasa Bolognese dari Indomie...

Mana yang lebih enak?

#indomie #bakmimewah #migoreng #miegoreng #mieinstan #bakmigoreng #bulgogi #spaghetti #bolognese",2021-02-25T14:11:06.000Z
"Wibrata
@Wibrata1
·
Jun 9, 2021",N/A,Yg lain lagi rame #BTSMeal saya cuma makan #indomie,2021-06-09T12:30:06.000Z
username,handle,content,time
"Arema FC
@AremafcOfficial
·
Jul 6, 2021",N/A,"Aremania, kali ini admin bareng 
@Indomielovers
 mau share satu fakta yg #HypeAbis nih. siapa yang kenal dengan istilah ambipedal? 

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-07-06T11:08:16.000Z
