full_text,time,cleaned_tweet,sentiment,textblob_sentiment
"Apa tanggapan Indofood dan netizen Indonesia tentang kejadian yang baru-baru ini viral ke media? (Pemusnahan bantuan kemanusiaan untuk Gaza) 
@indofood
 
@Indomielovers
 #indomie",2024-05-15T01:23:55.000Z,tanggapan indofood netizen indonesia kejadian viral medium pemusnahan bantuan kemanusiaan gaza indofood indomielovers indomie,positive,neutral
"Namanya doang #indomie rawon pedas mercon, tapi rasanya malah kayak soto, kenceng banget nipisnya, kluweknya gaberasa, gak pedes pula, makanya owe tambahin rawit  sebagai pecinta #rawon garis keras jujur kecewa siih.. 
@Indomielovers",2024-02-02T04:00:25.000Z,namanya doang indomie rawon pedas mercon kayak soto kenceng banget nipisnya kluweknya gaberasa gak pes owe tambahin rawit pecinta rawon gari kera jujur kecewa siih indomielovers,positive,neutral
"“Banyak yang tidak percaya saya berada di titik ini, tapi sekarang saya di sini. Semua karena partner saya ka Apri, ko Didi, mas Pras dan tim PBSI yang mencoba membantu saya dan men-support saya. 

Kalau saya mimpi, tolong bangunin dong.”

- Fadia

#SambalIndofood #Indomie",2023-08-27T13:00:41.000Z,percaya titik partner ka apri ko didi ma pras tim pbsi mencoba membantu men support mimpi tolong bangunin fadia sambalindofood indomie,positive,neutral
content,time,content,neutral,neutral
Ketika mie gaga dikadalin indomie ! #miegaga #indomie #miegagagorengpedasjalapeno #SudirmanSaid #AniesMuhaimin2024 #Penghianat,2023-09-02T10:05:15.000Z,mie gaga dikadalin indomie miegaga indomie miegagagorengpedasjalapeno sudirmansaid aniesmuhaimin2024 penghianat,negative,neutral
Cowok Gemini? Maap engga dulu  #Indomie,2023-05-31T10:57:10.000Z,cowok gemini maap engga indomie,neutral,neutral
"Intro About You - The 1975  

Popmie + kecambah + sosis  #popmie #popmieindomie #indomie #indomieseleraku #kos #kosan #hujan #kecambah #sosis",2023-07-10T14:09:27.000Z,intro about you the 1975 popmie kecambah sosis popmie popmieindomie indomie indomieseleraku ko kosan hujan kecambah sosis,positive,neutral
"Cewe Jepang mnyobain masak dan makan Indomie
#Indomie #Japanesegirl",2023-08-04T01:09:33.000Z,cewe jepang mnyobain masak makan indomie indomie japanesegirl,neutral,neutral
"Emang paling bener Varian Favorit itu dibarengin sama topping Favorit ! 
Selamat sarapan MaiHoney ! 
Indomie Tori Miso x Telor (gagal) setengah matang x ayam suwir

#MaiKanan #Indomie",2023-04-29T04:43:40.000Z,emang bener varian favorit dibarengin topping favorit selamat sarapan maihoney indomie torus miso x telor gagal matang x ayam suwir maikanan indomie,positive,neutral
Petisi untuk ko @/axtonsalim agar produksi lagi rasa sambal matah #indomie #indomiesambalmatah #indomiegoreng,2023-04-29T06:22:33.000Z,petisi ko axtonsalim produksi sambal matah indomie indomiesambalmatah indomiegoreng,positive,neutral
content,time,content,neutral,neutral
Emang pencinta indomie keknya dia  #exo #manager #indomie,2023-02-03T07:12:11.000Z,emang pencinta indomie keknya exo manager indomie,positive,neutral
"MaiHoney~ jangan lupa mamam yah 

Aku mamam menu spesial 
@Indomielovers
 yaitu Mie Goreng topping Omelette Mie

#MaiKanan #Indomie",2023-02-06T09:19:10.000Z,maihoney lupa mamam yah mamam menu spesial indomielovers mie goreng topping omelette mie maikanan indomie,positive,neutral
"Tekad untuk akhiri musim dengan catatan positif, siap kembali raih kemenangan!
Hadapi Dewa United, Persija unggul 3-2 di pertemuan pertama lalu. Semoga tiga poin kembali menjadi milik Persija di laga ini.

Nonton Persija berlaga jadi makin semangat bareng Indomie Goreng. #Indomie",2023-04-09T10:10:34.000Z,tekad musim catatan positif raih kemenangan hadapi dewa united persija unggul 3 2 pertemuan semoga poin milik persija laga nonton persija berlaga semangat bareng indomie goreng indomie,positive,neutral
"Nah! Karena kelamaan ga ditanggapi serius, sekarang kabar tentang temuan zat berbahay penyebab kanker di produk #Indomie masuk ke media internasional.

#Indofood bakal mulai merasakan efek bisnis dari pengacuhan krisis kepercayaan publik ini.",2023-04-27T11:25:54.000Z,ga ditanggapi serius kabar temuan zat berbahay penyebab kanker produk indomie masuk medium internasional indofood merasakan efek bisnis pengacuhan krisis kepercayaan publik,positive,neutral
"Rasanyaaa.... Sama aja kayak Indomie goreng rendang. Beda di size mie nya aja, mirip mie goreng Aceh yg gendud mienya. Kenapa pake embel2 kebab? Ya karena saran penyajiannya kudu digulung2 kyk kebab #indomie",2022-10-09T15:04:51.000Z,rasanyaaa aja kayak indomie goreng rendang beda size mie nya aja mie goreng aceh yg gendud mienya pake embel2 kebab ya saran penyajiannya kudu digulung2 kyk kebab indomie,positive,neutral
content,time,content,neutral,neutral
Kabar buruk buat anak kos #indomie #meme #memecomicindo,2022-08-09T01:32:36.000Z,kabar buruk anak ko indomie meme memecomicindo,negative,neutral
mari kita coba indomie rasa ini #Indomie,2022-11-22T11:57:03.000Z,mari coba indomie indomie,neutral,neutral
